,Movie_Title,Genre,Director,Number_of_Screens,Verdict,RevenueUSD,BudgetUSD,Music.Director
498,Don - The Chase Begins Again,action,Farhan Akhtar,850,Hit,4.56,12.76128,Shankar - Ehsaan - Loy
499,Don 2,action,Farhan Akhtar,2850,Hit,9.12,24.3372,Shankar - Ehsaan - Loy
500,Jab Harry Met Sejal,rom__com,Imtiaz Ali,3200,Flop,14.28,17.73096,Pritam
501,Kabhi Alvida Na Kehna,drama,Karan Johar,800,Semi Hit,5.76,13.43088,Shankar - Ehsaan - Loy
502,My Name Is Khan,drama,Karan Johar,1650,Hit,10.2,23.1774,Shankar - Ehsaan - Loy
503,Fan,thriller,Maneesh Sharma,3450,Flop,14.4,22.19196,Vishal - Shekhar
504,Raees,action,Rahul Dholakia,3400,Semi Hit,15.24,32.7024,Ram Sampath
505,Chennai Express,masala,Rohit Shetty,3600,Blockbuster,13.8,47.51091,Honey Singh
506,Dilwale,masala,Rohit Shetty,3150,Semi Hit,19.8,44.66778,Pritam
507,Chak De India,drama,Shimit Amin,500,Super Hit,2.64,12.21804,Salim - Sulaiman
508,Jab Tak Hai Jaan,love_story,Yash Chopra,2450,Hit,9.36,25.23171,A.R. Rehman
509,Ferrari Ki Sawaari,drama,Rajesh Mapuskar,875,Semi Hit,2.4,5.814,Pritam
510,Gang Of Ghosts,comedy,Satish Kaushik,900,Disaster,1.92,0.33516,Dharam - Sandeep
511,1920 London,horror,Tinu Suresh Desai,1300,Flop,2.52,2.72139,Toshi - Sharib
512,Wajah Tum Ho,thriller,Vishal Pandya,2000,Flop,1.68,1.6284,Gourav - Roshin
513,Hijack,action,Kunal Shivdasani,375,Disaster,1.08,0.4086,Justin - Uday
514,Khoya Khoya Chand,drama,Sudhir Mishra,150,Disaster,0.66,0.353607,Shantanu Moitra
515,Haseena Parkar,drama,Apoorva Lakhia,1150,Disaster,2.16,1.0881,Sachin - Jigar
516,Iqbal,drama,Nagesh Kukunoor,70,Average,0.27,0.672825,Salim - Sulaiman
517,A Gentleman - Sundar Susheel Risky,action,Krishna D.K,1900,Disaster,8.04,4.0188,Sachin - Jigar
518,Ek Villain,thriller,Mohit Suri,2500,Super Hit,4.68,18.3816,Adnan Dhool
519,Baar Baar Dekho,drama,Nitya Mehra,1950,Flop,6.36,7.52052,Bilal Saeed
520,Kapoor & Sons,drama,Shakun Batra,1500,Hit,4.56,17.19426,Amal Malik
521,Hasee Toh Phasee,rom__com,Vinil Mathew,1300,Average,3.12,7.40904,Vishal - Shekhar
522,Summer 2007,thriller,Suhail Tatari,125,Disaster,0.54,0.077139,Gourov Dasgupta
523,Hello,love_story,Atul Agnihotri,650,Flop,1.68,2.1552,Sajid - Wajid
524,Heroes,drama,Samir Karnik,725,Flop,2.16,3.0528,Sajid - Wajid
